Cuenta," Rol"
_30jr40_,"PERSONA_ESPECIAL"
_lizvilchis,"SERVIDOR_PUBLICO,PERIODISTA"
_ryo_hermoso,"TWITERO"
_VicenteSerrano,"PERIODISTA,MEDIO_DE_COMUNICACION"
abrahamendieta,"ANALISTA"
AccionNacional,"PARTIDO_POLITICO"
adan_augusto,"SERVIDOR_PUBLICO"
adituzita,"PERIODISTA"
ahope71,"ANALISTA"
AlfonsoDurazo,"SERVIDOR_PUBLICO"
"alvaro_delgado ","PERIODISTA"
amparocasar,"ANALISTA"
analucia_medina,"ANALISTA"
antonioattolini,"ANALISTA"
aristeguicnn,"MEDIO_DE_COMUNICACION"
aristeguionline,"MEDIO_DE_COMUNICACION"
arturo_rdgz,"PERIODISTA"
ArturoHerrera_G,"SERVIDOR_PUBLICO"
arturozaldivarl,"SERVIDOR_PUBLICO"
azucenau,"PERIODISTA"
BeataWojna,"ANALISTA"
beatrizgmuller,"PERSONA_ESPECIAL"
brozoxmiswebs,"PERIODISTA"
c_dnielle,"ANALISTA"
callodehacha,"PERIODISTA"
CantuMauricio,"SERVIDOR_PUBLICO,ANALISTA"
carlosalazraki,"ANALISTA"
CarlosLoret,"PERIODISTA"
CaroBeauregard,"SERVIDOR_PUBLICO"
carolina_rocha_,"PERIODISTA"
catrina_nortena,"TWITERO"
chicshion,"TWITERO"
chumeltorres,"ANALISTA"
cirogomezl,"PERIODISTA"
ciromurayamaine,"SERVIDOR_PUBLICO"
CitlaHM,"SERVIDOR_PUBLICO"
claudiashein,"SERVIDOR_PUBLICO"
ClaudioXGG,"TWITERO"
dantedelgado,"POLITICO"
denisedresserg,"ANALISTA,ACTIVISTA"
EdySmol,"ANALISTA"
eledesmaa,"PERIODISTA"
elgatopolitico_,"MEDIO_DE_COMUNICACION"
EnriqueAlfaroR,"SERVIDOR_PUBLICO"
epigmenioibarra,"PERIODISTA"
EPN,"PERSONA_ESPECIAL"
fabriziomejia,"ANALISTA"
FCN_mx,"SOCIEDAD_CIVIL"
federicoarreola,"PERIODISTA"
felipecalderon,"POLITICO"
fernandeznorona,"SERVIDOR_PUBLICO"
fgcabezadevaca,"SERVIDOR_PUBLICO"
fisgonmonero,"PERIODISTA"
fmartinmoreno,"ANALISTA"
fridaguerrera,"ACTIVISTA,PERIODISTA"
g_quadri,"SERVIDOR_PUBLICO"
gcorreacabrera,"PERIODISTA"
genarolozano,"PERIODISTA"
GildoGarzaMx,"PERIODISTA"
glodejo07,"TWITERO"
GMonroyEnergy,"TWITERO"
GobCDMX,"ENTIDAD_GUBERNAMENTAL"
GobiernoMX,"ENTIDAD_GUBERNAMENTAL"
gobtam,"ENTIDAD_GUBERNAMENTAL"
hamlet_almaguer,"SERVIDOR_PUBLICO,ANALISTA"
Hans2412,"PERIODISTA"
hdemauleon,"PERIODISTA"
Helioflores_mex,"PERIODISTA"
HernanGomezB,"PERIODISTA"
HLGatell,"SERVIDOR_PUBLICO"
HoracioFranco,"ANALISTA"
indira_vizcaino,"SERVIDOR_PUBLICO"
INEMexico,"ENTIDAD_GUBERNAMENTAL"
jairocalixto,"PERIODISTA"
jenarovillamil,"SERVIDOR_PUBLICO,PERIODISTA"
JesusRCuevas,"SERVIDOR_PUBLICO,PERIODISTA"
jgnaredo,"ANALISTA"
JLozanoA,"ANALISTA,POLITICO"
JohnMAckerman,"ANALISTA,SERVIDOR_PUBLICO"
JorgeRoHe,"SERVIDOR_PUBLICO"
JoseAMeadeK,"TWITERO"
jtrianat,"ANALISTA"
"julioastillero ","PERIODISTA,MEDIO_DE_COMUNICACION"
juncalssolano,"ANALISTA"
kenialopezr,"SERVIDOR_PUBLICO"
lajornadaonline,
latinus,
LauraSanchezLey,
laydasansores,
LCUgalde,
leonkrauze,
leonugo,
Letras_Libres,
letroblesrosa,
lialimon,
"LillyTellez ",
lopezdoriga,
lopezobrador_,
lorenzocordovav,
LOVREGA,
LuisaAlcalde,
m_ebrard,
M_OlgaSCordero,
M2Cyndy,
MaguMonero,
ManuelBartlett,
mario_delgado,
mario_dico50,
MarkoCortes,
marolimx,
martibatres,
mau_rodriguez77,
"maxkaiser75      ",
MBarbosaMX,
MElenaPerezJaen,
MemeYamelCA,
Miriam_Junne,
monerohernandez,
monerorictus,
morenasenadores,
MovCiudadanoMX,
Mx_Diputados,
mxvscorrupcion,
mzavalagc,
NachoRgz,
nancy_contra,
Navegaciones,
oharfuch,
omarfayad,
PabloGomez1968,
paezvarela,
Pajaropolitico,
partidomorenamx,
patyarmendariz,
pedroferriz3,
PelonGomis,
penileyramirez,
PRI_Nacional,
proceso,
QuesaVerdadess,
rafaherrera1983,
ramiroatondo,
RedAMLOmx,
Reforma,
ReporterosMX_,
RicardoAnayaC,
RicardoBSalinas,
RicardoMonrealA,
ricardomraphael,
rivapa,
rocionahle,
RuidoEnLaRed,
rynram,
sandracuevas_,
SanjuanaNotimex,
senadomexicano,
sergiosarmiento,
SinEmbargoMX,
SinLinea_Mx,
SNietoCastillo,
soccivilmx,
Taibo2,
tatclouthier,
TorrucoTurismo,
tumbaburross,
USAmbMex,
V_TrujilloM,
vampipe,
VicenteFoxQue,
xochitlgalvez,
yeidckol,
YosoyPedrero,
zoerobledo,
ZuritaCarpio,
AtypicalTeve,
RompevientoTV,
LAURABARRANCO,
YosoyPedrero,
alitomorenoc,
" ",